supplier_id,name,contact_name,phone,email,address,country,status,created_at
1,Supplier_1,Ahmed,20336696312,s1@example.com,Giza,Germany,,11/27/2024
2,Supplier_2,Ahmed,20582334538,s2@example.com,Cairo,Germany,suspended,5/15/2025
3,Supplier_3,John,20732719211,s3@example.com,Alexandria,China,Active,1/20/2024
4,Supplier_4,Sara,20398704996,s4@example.com,Cairo,UAE,suspended,4/24/2024
5,Supplier_5,Sara,20969119330,s5@example.com,,China,suspended,1/6/2025
6,Supplier_6,Sara,20106977991,,Giza,Egypt,Active,11/10/2024
7,Supplier_7,Ahmed,20914763202,s7@example.com,,UAE,,9/2/2024
8,Supplier_8,Ahmed,20965241839,s8@example.com,Giza,Egypt,,2/29/2024
9,Supplier_9,,20271432881,s9@example.com,Alexandria,China,Active,9/3/2024
10,Supplier_10,Ahmed,20849621470,,Giza,Germany,suspended,8/3/2025
11,Supplier_11,Ahmed,20553778756,s11@example.com,Giza,China,suspended,3/21/2024
12,Supplier_12,Ahmed,20465341213,s12@example.com,Alexandria,Egypt,,3/28/2024
13,Supplier_13,Sara,20398362082,s13@example.com,Giza,UAE,active,5/12/2025
14,Supplier_14,Sara,20266944844,s14@example.com,Cairo,China,active,3/11/2024
15,Supplier_15,Ahmed,20331191390,s15@example.com,Alexandria,UAE,active,6/29/2025
16,Supplier_16,Sara,20919795579,,Alexandria,Germany,suspended,5/8/2024
17,Supplier_17,,20461415646,s17@example.com,Alexandria,Germany,suspended,5/11/2024
